OBJECTID,dcat_Catalog_dct_title,dcat_Catalog_dct_description,dcat_Catalog_dct_publisher,dcat_Catalog_dcat_contact_Email,dcat_Catalog_foaf_homepage,dcat_Dataset,dcat_Dataset_dct_title,dcat_Dataset_dct_description,dcat_Dataset_dct_publisher,dcat_Dataset_dcat_theme,dcat_Dataset_dct_accrualPeriodic,dcat_Dataset_dcat_keyword,dcat_Distribution,dcat_Distribution_leg_TOU_AWType,dcat_Distribution_leg_TOU_AName,dcat_Distribution_leg_TOU_DPBSRT,dcat_Distribution_leg_TOU_PDCTyp,dcat_Distribution_dcat_downURL,dcat_Distribution_dcat_accessURL,dcat_Distribution_dct_format,dcat_Distribution_dcat_mediaType
29,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/878fbcfcef7b4b408018c3ae91d4e854/about,„Pošty a BalíkoBoxy v Košiciach“@sk,"„Dataset obsahuje pobočky pôšt a balíkoboxy Slovenskej pošty, a.s. v Košiciach.“@sk",„https://www.kosice.sk“,SOCI,IRREG,"„pošta“@sk, „balíkobox“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=878fbcfcef7b4b408018c3ae91d4e854&view=service,https://creativecommons.org/licenses/by/4.0/,"„Slovenská pošta, a.s.“",https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/878fbcfcef7b4b408018c3ae91d4e854/explore,https://opendata.kosice.sk/datasets/878fbcfcef7b4b408018c3ae91d4e854/explore,csv,text/csv
30,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/4a4ea753ff1a4ea8949bb9c93c1e1034/about,„Prieskum - Návštevnosť Košíc 2020“@sk,"„Dataset obsahuje výsledky prieskumu „Návštevnosť Košíc 2020“, realizovaného v mesiacoch júl - august 2020 (31.7. - 30.8.2020), prostredníctvom partnerov organizácie Visit Košice.“@sk",„https://www.kosice.sk“,REGI,IRREG,"„prieskum“@sk, „návštevnosť“@sk, „turizmus“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=4a4ea753ff1a4ea8949bb9c93c1e1034&view=service,https://creativecommons.org/licenses/by/4.0/,„Visit Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/4a4ea753ff1a4ea8949bb9c93c1e1034/explore,https://opendata.kosice.sk/datasets/4a4ea753ff1a4ea8949bb9c93c1e1034/explore,csv,text/csv
31,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/23ea6a21a1d648169722b37c21aa25f0/about,„Prieskum - Pandémia Košice 2021“@sk,"„Dataset obsahuje výsledky reprezentatívneho telefonického prieskumu „Pandémia Košice 2021“, realizovaného v mesiaci september 2021.“@sk",„https://www.kosice.sk“,REGI,IRREG,"„prieskum“@sk, „pandémia“@sk, „obyvateľstvo“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=23ea6a21a1d648169722b37c21aa25f0&view=service,https://creativecommons.org/licenses/by/4.0/,"„Creative Industry Košice, n.o.“",https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/23ea6a21a1d648169722b37c21aa25f0/explore,https://opendata.kosice.sk/datasets/23ea6a21a1d648169722b37c21aa25f0/explore,csv,text/csv
32,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/c4bd9bea786d4431a2001873db5dacff/about,„Prieskum - Turizmus Košice 2020“@sk,„Dataset obsahuje výsledky reprezentatívneho prieskumu „Návštevnosť Košíc 2020“ zameraného na analýzu Košíc ako turistickej destinácie.“@sk,„https://www.kosice.sk“,REGI,IRREG,"„prieskum“@sk, „turizmus“@sk, „obyvateľstvo“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=c4bd9bea786d4431a2001873db5dacff&view=service,https://creativecommons.org/licenses/by/4.0/,„Visit Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/c4bd9bea786d4431a2001873db5dacff/explore,https://opendata.kosice.sk/datasets/c4bd9bea786d4431a2001873db5dacff/explore,csv,text/csv
33,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/d0869cf2b5784d91a1d4593ce2060ca4/about,„Prieskum - záujem o otvorené dáta“@sk,„Prieskum realizovaný na open data portáli mesta Košice.“@sk,„https://www.kosice.sk“,REGI,IRREG,"„prieskum“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=d0869cf2b5784d91a1d4593ce2060ca4&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/d0869cf2b5784d91a1d4593ce2060ca4/explore,https://opendata.kosice.sk/datasets/d0869cf2b5784d91a1d4593ce2060ca4/explore,csv,text/csv
34,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/90efeec604a74e9aa4574f3757c9ad59/about,„Prieskumy - otázky a odpovede“@sk,„Dataset všetkých otázok a možností odpovedí z prieskumov zverejnených na open data portáli mesta Košice.“@sk,„https://www.kosice.sk“,REGI,IRREG,"„prieskum“@sk, „otázky“@sk, „odpovede“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=90efeec604a74e9aa4574f3757c9ad59&view=service,https://creativecommons.org/licenses/by/4.0/,"„Creative Industry Košice,  n.o.“",https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/90efeec604a74e9aa4574f3757c9ad59/explore,https://opendata.kosice.sk/datasets/90efeec604a74e9aa4574f3757c9ad59/explore,csv,text/csv
35,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/bb74db8fe2de4cc3ac919b9c16cc6a70/about,„Priestupky na území mesta Košice“@sk,„Dataset obsahuje priestupky evidované MsP na území mesta Košice.“@sk,„https://www.kosice.sk“,SOCI,ANNUAL,"„mestská polícia“@sk, „priestupok“@sk, „stanica“@sk, „oblasť“@sk, „mapa“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=bb74db8fe2de4cc3ac919b9c16cc6a70&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/bb74db8fe2de4cc3ac919b9c16cc6a70/explore,https://opendata.kosice.sk/datasets/bb74db8fe2de4cc3ac919b9c16cc6a70/explore,csv,text/csv
36,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/975951e6113543768e960c96bbc75f3b/about,„Reklamné plochy na území mesta Košice“@sk,„Reklamné plochy“@sk,„https://www.kosice.sk“,ENVI,IRREG,"„reklama“@sk, „bilboard“@sk, „vizualny smog“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=975951e6113543768e960c96bbc75f3b&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/975951e6113543768e960c96bbc75f3b/explore,https://opendata.kosice.sk/datasets/975951e6113543768e960c96bbc75f3b/explore,csv,text/csv
37,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/9961c8a9cd8e461d8bee1414833746b9/about,„Sčítač MyBikeCounter Košice“@sk,„Dataset obsahuje údaje zo sčítača cyklistov a chodcov MyBikeCounter.“@sk,„https://www.kosice.sk“,EDUC,DAILY,"„cyklista“@sk, „chodec“@sk, „sčítač“@sk, „komenského“@sk, „letná“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=9961c8a9cd8e461d8bee1414833746b9&view=service,https://creativecommons.org/licenses/by/4.0/,„MyBikeCounter“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/9961c8a9cd8e461d8bee1414833746b9/explore,https://opendata.kosice.sk/datasets/9961c8a9cd8e461d8bee1414833746b9/explore,csv,text/csv
38,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/25267dab3e8a46d6b1fc24d365a28b95/about,„Školské obvody“@sk,"„Dataset obsahu informáciu o príslušnom školskom obvode, IČO školy, názov ulice a mestskú časť.“@sk",„https://www.kosice.sk“,SOCI,IRREG,"„škola“@sk, „obvod“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=25267dab3e8a46d6b1fc24d365a28b95&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/25267dab3e8a46d6b1fc24d365a28b95/explore,https://opendata.kosice.sk/datasets/25267dab3e8a46d6b1fc24d365a28b95/explore,csv,text/csv
39,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/52248c5a80b5437bbcbea3d955c77e78/about,„Spádové oblasti materských škôl“@sk,„Dataset obsahuje zoznam spádových materských škôl v zriaďovateľskej pôsobnosti Mesta Košice.“@sk,„https://www.kosice.sk“,SOCI,IRREG,"„materské školy“@sk, „spádová oblasť“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=52248c5a80b5437bbcbea3d955c77e78&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/52248c5a80b5437bbcbea3d955c77e78/explore,https://opendata.kosice.sk/datasets/52248c5a80b5437bbcbea3d955c77e78/explore,csv,text/csv
40,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/73405066f5ac4461b8527936cc0af108/about,„Stredné školy“@sk,"„Dataset obsahuje základné informácie o strednej škole, ako presnú adresu, webové sídlo, telefónny kontakt a email na organizáciu.“@sk",„https://www.kosice.sk“,SOCI,IRREG,"„gymnázium“@sk, „stredná odborná škola“@sk, „konzervatórium“@sk, „stredná priemyselná škola“@sk, „obchodná akadémia“@sk, „hotelová akadémia“@sk, „stredná zdravotnícka škola“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=73405066f5ac4461b8527936cc0af108&view=service,https://creativecommons.org/licenses/by/4.0/,„Košický samosprávny kraj“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/73405066f5ac4461b8527936cc0af108/explore,https://opendata.kosice.sk/datasets/73405066f5ac4461b8527936cc0af108/explore,csv,text/csv
41,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/c7fdd02f76f047bca41fd74591866491/about,„Výbehy pre psov v Košiciach“@sk,„Dataset obsahuje zoznam výbehov a venčovísk pre psov v meste Košice.“@sk,„https://www.kosice.sk“,SOCI,Metadáta nenájdené,"„pes“@sk, „výbeh“@sk, „venčovisko“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=c7fdd02f76f047bca41fd74591866491&view=service,https://creativecommons.org/licenses/by/4.0/,"„Mesto Košice, Mestské časti v meste Košice“",https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/c7fdd02f76f047bca41fd74591866491/explore,https://opendata.kosice.sk/datasets/c7fdd02f76f047bca41fd74591866491/explore,csv,text/csv
42,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/73436738b703420f8f49878e30da4cf4/about,„Výmery typov pozemkov“@sk,"„Dataset obsahuje informácie o type pozemku na území Košíc (napr. vinica, záhrada, zastavaná plocha a iné). Údaje o výmere plochy sú uvedené v hektároch.“@sk",„https://www.kosice.sk“,ENVI,ANNUAL,"„životné prostredie“@sk, „typ pozemku“@sk, „mestská zeleň“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=73436738b703420f8f49878e30da4cf4&view=service,https://creativecommons.org/licenses/by/4.0/,"„Úrad geodézie, kartografie a katastra SR“",https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/73436738b703420f8f49878e30da4cf4/explore,https://opendata.kosice.sk/datasets/73436738b703420f8f49878e30da4cf4/explore,csv,text/csv
43,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/82428f060be24647b567e19e3b625cc8/about,„Základné školy“@sk,"„Dataset obsahuje základné informácie o základnej škole, ako presnú adresu, webové sídlo, telefónny kontakt, email na organizáciu, a gps súradnice.“@sk",„https://www.kosice.sk“,SOCI,IRREG,"„zakladna skola“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=82428f060be24647b567e19e3b625cc8&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/82428f060be24647b567e19e3b625cc8/explore,https://opendata.kosice.sk/datasets/82428f060be24647b567e19e3b625cc8/explore,csv,text/csv
44,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/410bb71ab5a845b5b125892298885a62/about,„Základné umelecké školy“@sk,"„Dataset obsahuje základné informácie o názve školy, IČO, DIČ, presnú adresu a webové sídlo školy.“@sk",„https://www.kosice.sk“,SOCI,IRREG,"„škola“@sk, „umenie“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=410bb71ab5a845b5b125892298885a62&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/410bb71ab5a845b5b125892298885a62/explore,https://opendata.kosice.sk/datasets/410bb71ab5a845b5b125892298885a62/explore,csv,text/csv
45,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/027eaebb18144e8c9eecbf04a8ff4093/about,„Zastávky MHD“@sk,„Dataset obsahuje zoznam zastávok mestskej hromadnej dopravy v Košiciach.“@sk,„https://www.kosice.sk“,TRAN,IRREG,"„mhd“@sk, „zastávka“@sk, „dpmk“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=027eaebb18144e8c9eecbf04a8ff4093&view=service,https://creativecommons.org/licenses/by/4.0/,"„Dopravný podnik mesta Košice, a.s.“",https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/027eaebb18144e8c9eecbf04a8ff4093/explore,https://opendata.kosice.sk/datasets/027eaebb18144e8c9eecbf04a8ff4093/explore,csv,text/csv
46,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/faa76ada96724d54a060e9fa3f254ece/about,„Zberné dvory Košice“@sk,„Dataset obsahuje zoznam zberných dvorov v Košiciach.“@sk,„https://www.kosice.sk“,ENVI,IRREG,"„zberný dvor“@sk, „kosit“@sk, „odpad“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=faa76ada96724d54a060e9fa3f254ece&view=service,https://creativecommons.org/licenses/by/4.0/,„KOSIT a.s.“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/faa76ada96724d54a060e9fa3f254ece/explore,https://opendata.kosice.sk/datasets/faa76ada96724d54a060e9fa3f254ece/explore,csv,text/csv
47,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/6b66219049674794b462b90512081220/about,„Zmluvy mesta Košice“@sk,„Dataset obsahuje denne aktualizovaný zoznam zmlúv.“@sk,„https://www.kosice.sk“,REGI,DAILY,"„zmluva“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=6b66219049674794b462b90512081220&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/6b66219049674794b462b90512081220/explore,https://opendata.kosice.sk/datasets/6b66219049674794b462b90512081220/explore,csv,text/csv
48,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/cf615272b9124fb69b35be94879f70b8/about,„Zoznam katastrálnych území v Košiciach“@sk,"„Dataset obsahuje zoznam katastrálnych území a ich geografickú príslušnosť k mestskej časti, okresu a kraju.“@sk",„https://www.kosice.sk“,REGI,IRREG,"„kataster“@sk, „katastralne uzemie“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=cf615272b9124fb69b35be94879f70b8&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/cf615272b9124fb69b35be94879f70b8/explore,https://opendata.kosice.sk/datasets/cf615272b9124fb69b35be94879f70b8/explore,csv,text/csv
49,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/677fd61907d9455da0aca7fd25858696/about,„Zoznam ulíc v Košiciach“@sk,"„Dataset obsahuje zoznam ulíc v meste Košice, aj s historickými názvami ulíc.“@sk",„https://www.kosice.sk“,TRAN,IRREG,"„ulica“@sk, „psč“@sk, „mestská časť“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=677fd61907d9455da0aca7fd25858696&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/677fd61907d9455da0aca7fd25858696/explore,https://opendata.kosice.sk/datasets/677fd61907d9455da0aca7fd25858696/explore,csv,text/csv
